0	0.0666667	0	0	0.0333333	0	0	0	0.0333333	0	0.0333333	0.0333333	0.0333333	0	0	0	0	0	0	0.0666667	0	0.0333333	0	0	0.1	0	0.0333333	0.0333333	0	0	0	0.0333333	0.2	0.0333333	0	0	0	0	0.0333333	0	0	0	0	0.0333333	0.1	0	0.0333333	0	0	0.0333333	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0.0434783	0	0	0.0434783	0	0.0434783	0	0	0	0.0434783	0	0	0	0	0	0	0.130435	0	0	0.0434783	0.0434783	0.0434783	0.0869565	0	0.0434783	0.0434783	0.0869565	0	0	0.130435	0	0	0	0	0	0.0434783	0	0	0	0	0.0434783	0	0	0.0869565	0	0	0	
0	0	0	0	0	0.0666667	0	0	0	0	0	0.0666667	0	0.0666667	0.133333	0.0666667	0.0666667	0	0	0	0	0	0.0666667	0	0.0666667	0	0	0	0	0	0	0	0	0	0.0666667	0	0.0666667	0.133333	0	0	0	0	0	0.0666667	0	0	0.0666667	0	0	0	
0	0.0714286	0	0	0	0.0714286	0	0.142857	0	0	0	0.0714286	0	0	0.0714286	0.0714286	0	0	0	0	0	0	0.0714286	0	0	0	0	0	0	0	0.0714286	0.0714286	0	0	0.142857	0	0	0	0.0714286	0	0	0	0.0714286	0	0	0	0	0	0	0	
0	0.0508475	0	0.0169492	0.0169492	0	0	0.0169492	0.0508475	0.0338983	0.0508475	0.0169492	0.0338983	0.0338983	0	0.0169492	0.0169492	0.0338983	0.0508475	0.0847458	0.0169492	0.0169492	0.0338983	0	0.0169492	0	0	0.0169492	0	0	0	0.0677966	0.0677966	0	0.0169492	0	0.0169492	0	0.0169492	0	0	0.0338983	0.101695	0	0	0	0	0.0338983	0	0.0169492	
0.025974	0.038961	0.025974	0.012987	0.0519481	0.012987	0.012987	0.025974	0.012987	0.012987	0.025974	0.025974	0.025974	0	0.012987	0	0.025974	0	0.012987	0.038961	0.012987	0	0.0519481	0.0649351	0	0.025974	0.025974	0.012987	0	0.012987	0.038961	0.0519481	0.025974	0.012987	0.025974	0	0.038961	0	0.012987	0.038961	0	0	0.012987	0.025974	0.012987	0.025974	0.0519481	0	0	0.012987	
0	0.0909091	0	0	0	0	0	0	0	0.272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909091	0	0	0	0	0	0.181818	0	0	0	0	0	0	0	0.363636	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0.097561	0	0.0243902	0	0	0	0	0	0	0	0.0243902	0	0	0.243902	0	0	0	0.0731707	0	0	0	0	0.0487805	0.0487805	0	0	0.317073	0	0	0	0.0243902	0	0.0487805	0	0	0	0	0.0487805	0	0	0	0	0	0	
0.0322581	0.0967742	0	0	0	0.0322581	0	0	0	0.0645161	0	0.0322581	0	0	0	0.0967742	0	0	0.16129	0	0	0.0322581	0	0	0.0322581	0	0	0	0.0645161	0	0	0	0.0967742	0	0	0	0.129032	0	0	0	0	0	0	0.0645161	0	0.0322581	0	0.0322581	0	0	
0	0.0243902	0.0243902	0.0243902	0.0243902	0.0243902	0	0.0243902	0.0243902	0.097561	0	0	0	0.097561	0	0	0.0243902	0	0.146341	0	0	0.0243902	0.0731707	0.0243902	0.0243902	0	0	0	0.0731707	0	0.0243902	0	0.0487805	0	0.0243902	0	0.0243902	0	0.0243902	0	0	0	0	0.0731707	0	0	0	0	0.0243902	0	
0	0	0	0	0.0833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166667	0	0	0	0	0	0.0833333	0	0.0833333	0	0	0.0833333	0	0.0833333	0.166667	0	0.166667	0	0	0	0	0.0833333	0	0	0	0	
0	0.0714286	0	0	0	0	0	0	0.0714286	0	0	0	0.0714286	0	0	0	0	0	0	0	0	0.0714286	0	0	0.142857	0	0	0	0.0714286	0	0	0.0714286	0	0	0.0714286	0	0.0714286	0	0.0714286	0	0	0	0	0.142857	0	0	0	0	0	0.0714286	
